,EUA_xts,EUA_futures_xts,oil_xts,gas_xts,electricity_xts,coal_xts,DAX_xts,BE500_xts,Temp_xts
17/07/2016,0.012465782,0.012713573,0.001374197,-0.001557559,0.023925834,0.003596815,0.004306862,0.004737233,-0.005998074
24/07/2016,-0.008672892,-0.009245742,-0.00525291,0.013569433,0.015376787,0.000272963,0.001650128,0.00530366,0.008673016
31/07/2016,-0.006269933,-0.006043838,-0.012297994,-0.00572899,-0.015856495,0.009931422,0.002110543,0.001130497,-0.004488312
07/08/2016,0.014746995,0.015192232,0.008113058,-0.00551669,-0.047837001,0.002128198,0.001071552,0.001031006,-0.002043469
14/08/2016,-0.001081884,-0.001468226,0.00757132,-0.036414795,0.039170334,0.002835967,0.004324621,0.002441503,-0.003412909
21/08/2016,0.000394361,0.000784931,0.004984699,0.007002348,0.001826324,0.000245489,-0.002953828,-0.003897826,0.000737012
28/08/2016,-0.004297531,-0.005180883,0.000565861,0.00189582,0.003042281,-0.001975828,0.000649042,0.001933465,0.003612413
04/09/2016,-0.023910995,-0.022954626,-0.008067854,-0.000197579,0.034197716,0.005437523,0.001576975,0.002076377,-0.004183409
11/09/2016,0.002967642,0.002011272,0.004441756,-0.023881462,-0.014930715,0.000580235,-0.002661962,-0.006846031,0.001360907
18/09/2016,0.011181412,0.01150695,-0.008693247,0.029736899,0.006984396,0.002665889,-0.00188953,0.00088745,-0.016387619
25/09/2016,0.006995887,0.005944394,0.006274753,0.008954039,0.006815466,0.00126482,0.001786839,0.004675277,-0.00513795
02/10/2016,0.017319531,0.018228635,0.009944077,0.013616986,-0.025241721,0.011976594,0.00127467,0.000436288,-0.001856864
09/10/2016,0.012620973,0.012185944,0.007263853,0.005825232,0.070781372,0.010654313,0.000194012,-0.000635166,-0.02093984
16/10/2016,0.004296779,0.004385765,-0.00017769,0.015326469,-0.025653683,0.010257179,-0.000683533,-0.004128007,0.006968551
23/10/2016,-0.000407581,-0.000244688,0.003154849,0.018731523,-6.81E-05,0.003664204,0.00289012,0.004250636,-0.011084853
30/10/2016,0.001381058,0.001542661,-0.010219033,0.000113094,0.003833065,0.015888026,-0.000919759,0.000519323,-0.001431022
06/11/2016,0.00915914,0.009376168,-0.010308173,0.002187633,-0.017820744,0.009502159,-0.003857333,-0.002976884,-0.01086401
